term,definition,disciplines,url
absorption,"1. (n.) [Geophysics] The conversion of one form of energy into another as the energy passes through a medium. For example, seismic waves are partially converted to heat as they pass through rock. | 2. (n.) [Production Facilities] The property of some liquids or solids to soak up water or other fluids. The natural gas dehydration process uses glycols (liquids) that absorb the water vapor to finally obtain dehydrated gas. In the same way, light oil, also called absorption oil, is used to remove the heavier liquid hydrocarbons from a wet gas stream to obtain dry gas.",Geophysics; Production Facilities,https://glossary.slb.com/en/terms/a/absorption
absorption oil,[Production Facilities] A light liquid hydrocarbon used to absorb or remove the heavier liquid hydrocarbons from a wet gas stream. Absorption oil is also called wash oil.,Production Facilities,https://glossary.slb.com/en/terms/a/absorption_oil
acid gas,[Production Facilities] A gas that can form acidic solutions when mixed with water. The most common acid gases are hydrogen sulfide (H2S) and carbon dioxide (CO2) gases. Both gases cause corrosion; hydrogen sulfide is extremely poisonous. Hydrogen sulfide and carbon dioxide gases are obtained after a sweetening process applied to a sour gas.,Production Facilities,https://glossary.slb.com/en/terms/a/acid_gas
adsorption,"[Production Facilities, Enhanced Oil Recovery] The property of some solids and liquids to attract a liquid or a gas to their surfaces. Some solids, such as activated charcoal or silica gel, are used as surfaces of adhesion to gather liquid hydrocarbons from a natural gas stream. To complete the process, the solids are treated with steam to recover the liquid hydrocarbons.","Production Facilities, Enhanced Oil Recovery",https://glossary.slb.com/en/terms/a/adsorption
as-delivered BTU,[Production Facilities] The number of BTUs in a cubic foot of natural gas. The natural gas heat energy (BTU) will depend mainly on its water content at the delivered pressure and temperature conditions.,Production Facilities,https://glossary.slb.com/en/terms/a/as-delivered_btu
battery,"[Production Facilities] The installation of similar or identical units of equipment in a group, such as a separator battery, header battery, filter battery, or tank battery.",Production Facilities,https://glossary.slb.com/en/terms/b/battery
battery site,"[Production Facilities] A portion of land that contains separators, treaters, dehydrators, storage tanks, pumps, compressors, and other surface equipment in which fluids coming from a well are separated, measured, or stored.",Production Facilities,https://glossary.slb.com/en/terms/b/battery_site
blanket gas,"[Production Facilities] A gas phase maintained above a liquid in a vessel to protect the liquid against air contamination, to reduce the hazard of detonation or to pressurize the liquid. The gas source is located outside the vessel.",Production Facilities,https://glossary.slb.com/en/terms/b/blanket_gas
blow-by,[Production Facilities] A phenomenon in which free gas leaves with the liquid phase at the bottom of the separator. This condition may indicate a low liquid level or improper level control inside the separator. Antonyms: carryover,Production Facilities,https://glossary.slb.com/en/terms/b/blow-by
blowing the drip,[Production Facilities] Opening the valve on a drip to allow natural gas to blow or clear the pipe of all liquids.,Production Facilities,https://glossary.slb.com/en/terms/b/blowing_the_drip
bottomhole heater,"[Production Facilities] A device installed at the bottom of a well to increase the temperature of the fluid coming from the reservoir. Bottomhole heaters are used in low-API-gravity crude oils to reduce the fluid viscosity, thus reducing the high friction forces normally associated with these types of fluids.",Production Facilities,https://glossary.slb.com/en/terms/b/bottomhole_heater
